"mcchange","dist_threshold","seat_threshold","totaldeltaprof","totaldeltacs","totaldeltawelfare"
-0.1,400,20,-168068.506213732,-520446.177338572,-688514.683552304
-0.09,400,20,-134996.749161605,-471277.710510495,-606274.4596721
-0.08,400,20,-101398.115870417,-421631.670206001,-523029.786076418
-0.07,400,20,-67263.9596418084,-371495.720886047,-438759.680527855
-0.06,400,20,-32595.2314726587,-320855.027000073,-353450.258472732
-0.05,400,20,2641.53730279738,-269702.165738329,-267060.628435532
-0.04,400,20,38441.0811037508,-218020.545823439,-179579.464719689
-0.03,400,20,74813.3747963255,-165796.706457287,-90983.3316609612
-0.02,400,20,111769.671543654,-113017.20456499,-1247.53302133613
-0.01,400,20,149305.163033243,-59665.536133209,89639.6269000338
0.01,400,20,226206.896358641,48803.3574260919,275010.253784733
0.02,400,20,265586.61672481,103951.670734221,369538.287459032
0.03,400,20,305599.383664981,159729.695494448,465329.079159429
0.04,400,20,346255.996367632,216153.221688426,562409.218056058
0.05,400,20,387567.251528679,273238.37327051,660805.624799189
0.06,400,20,429544.207690713,331001.657012188,760545.8647029
0.07,400,20,472198.312286386,389459.955322292,861658.267608678
0.08,400,20,515540.775214835,448630.508220901,964171.283435735
0.09,400,20,559583.177060768,508530.940134745,1068114.11719551
0.1,400,20,604337.427820979,569179.286881759,1173516.71470274
-0.1,410,20,-168068.506213732,-520446.177338572,-688514.683552304
-0.09,410,20,-134996.749161605,-471277.710510495,-606274.4596721
-0.08,410,20,-101398.115870417,-421631.670206001,-523029.786076418
-0.07,410,20,-67263.9596418084,-371495.720886047,-438759.680527855
-0.06,410,20,-32595.2314726587,-320855.027000073,-353450.258472732
-0.05,410,20,2641.53730279738,-269702.165738329,-267060.628435532
-0.04,410,20,38441.0811037508,-218020.545823439,-179579.464719689
-0.03,410,20,74813.3747963255,-165796.706457287,-90983.3316609612
-0.02,410,20,111769.671543654,-113017.20456499,-1247.53302133613
-0.01,410,20,149305.163033243,-59665.536133209,89639.6269000338
0.01,410,20,226206.896358641,48803.3574260919,275010.253784733
0.02,410,20,265586.61672481,103951.670734221,369538.287459032
0.03,410,20,305599.383664981,159729.695494448,465329.079159429
0.04,410,20,346255.996367632,216153.221688426,562409.218056058
0.05,410,20,387567.251528679,273238.37327051,660805.624799189
0.06,410,20,429544.207690713,331001.657012188,760545.8647029
0.07,410,20,472198.312286386,389459.955322292,861658.267608678
0.08,410,20,515540.775214835,448630.508220901,964171.283435735
0.09,410,20,559583.177060768,508530.940134745,1068114.11719551
0.1,410,20,604337.427820979,569179.286881759,1173516.71470274
-0.1,420,20,-168068.506213732,-520446.177338572,-688514.683552304
-0.09,420,20,-134996.749161605,-471277.710510495,-606274.4596721
-0.08,420,20,-101398.115870417,-421631.670206001,-523029.786076418
-0.07,420,20,-67263.9596418084,-371495.720886047,-438759.680527855
-0.06,420,20,-32595.2314726587,-320855.027000073,-353450.258472732
-0.05,420,20,2641.53730279738,-269702.165738329,-267060.628435532
-0.04,420,20,38441.0811037508,-218020.545823439,-179579.464719689
-0.03,420,20,74813.3747963255,-165796.706457287,-90983.3316609612
-0.02,420,20,111769.671543654,-113017.20456499,-1247.53302133613
-0.01,420,20,149305.163033243,-59665.536133209,89639.6269000338
0.01,420,20,226206.896358641,48803.3574260919,275010.253784733
0.02,420,20,265586.61672481,103951.670734221,369538.287459032
0.03,420,20,305599.383664981,159729.695494448,465329.079159429
0.04,420,20,346255.996367632,216153.221688426,562409.218056058
0.05,420,20,387567.251528679,273238.37327051,660805.624799189
0.06,420,20,429544.207690713,331001.657012188,760545.8647029
0.07,420,20,472198.312286386,389459.955322292,861658.267608678
0.08,420,20,515540.775214835,448630.508220901,964171.283435735
0.09,420,20,559583.177060768,508530.940134745,1068114.11719551
